feature,importance_mean,importance_std
uacr_mg_g,0.016519665830626605,0.0019476617151793813
bpq020___ever_told_you_had_high_blood_pressure,0.016258051228466353,0.00685251033052372
total_cholesterol_mg_dl,0.016068208739529678,0.008483640322785632
med_count,0.014361593974575801,0.012155147758832455
hdl_cholesterol_mg_dl,0.010450966915623467,0.010633655828792077
paq650___vigorous_recreational_activities,0.007819768399289731,0.004739610014112873
kiq480___how_many_times_urinate_in_night?,0.0057007546472364655,0.0048161678543827595
kiq026___ever_had_kidney_stones?,0.005678058813494013,0.0015781158934942406
alcohol_any_risk_signal,0.005109300853730826,0.003508172130579882
gender,0.0032774029870212273,0.002320518585267351
dpq040___feeling_tired_or_having_little_energy,0.002967223031924801,0.0029606573008787657
triglycerides_mg_dl,0.002195149438589046,0.00568550387139721
kiq005___how_often_have_urinary_leakage?,0.002128109731979849,0.0017561018495046024
age_years,0.0018763229421042819,0.0021409670850410507
kiq022___ever_told_you_had_weak/failing_kidneys?,0.0016648362403070952,0.0008385481954349424
mcq160a___ever_told_you_had_arthritis,0.0009536365935537583,0.0014839800582384661
