threshold,roc_auc,precision,recall,f1
0.1,0.7219,0.0908,1.0,0.1664
0.15,0.7219,0.091,1.0,0.1668
0.2,0.7219,0.0911,1.0,0.1669
0.25,0.7219,0.0913,1.0,0.1673
0.3,0.7219,0.0914,0.9828,0.1673
0.35,0.7219,0.0957,0.9483,0.1739
0.4,0.7219,0.1057,0.8793,0.1887
0.45,0.7219,0.1127,0.7414,0.1957
0.5,0.7219,0.1392,0.6638,0.2302
0.55,0.7219,0.1785,0.5862,0.2736
0.6,0.7219,0.1992,0.4483,0.2759
0.65,0.7219,0.1975,0.2759,0.2302
0.7,0.7219,0.2111,0.1638,0.1845
0.75,0.7219,0.1739,0.069,0.0988
0.8,0.7219,0.2941,0.0431,0.0752
0.85,0.7219,0.5,0.0259,0.0492
0.9,0.7219,1.0,0.0172,0.0339
