feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null,importance_mean,importance_std,missing_pct,n_unique,quiz_status
dpq040___feeling_tired_or_having_little_energy,categorical,12.81,6,cramers_v,0.29106292670571104,0.29106292670571104,9.354725352211087e-93,5187,0.078600345852644,0.009645523182329169,13.03,6,keep_core
cdq010___shortness_of_breath_on_stairs/inclines,categorical,43.69,3,cramers_v,0.2711296375045243,0.2711296375045243,3.3474553605803726e-54,3350,0.04962856942036667,0.00870858674815903,43.83,3,keep_optional
bpq020___ever_told_you_had_high_blood_pressure,categorical,0.0,3,cramers_v,0.22652849257350555,0.22652849257350555,5.135945296773546e-67,5949,0.032153781324525496,0.008059605746205014,0.0,3,keep_optional
slq030___how_often_do_you_snore?,categorical,0.0,6,cramers_v,0.21531423295785115,0.21531423295785115,1.5917444055577264e-57,5949,0.030457603500995828,0.005566334953309839,0.0,6,keep_core
mcq010___ever_been_told_you_have_asthma,categorical,0.0,3,cramers_v,0.14411662900262942,0.14411662900262942,1.4778881097671855e-27,5949,0.011355878783085648,0.00357876120490309,0.0,3,drop_for_quiz
mcq160p___ever_told_you_had_copd_emphysema,categorical,6.44,3,cramers_v,0.18173427620923738,0.18173427620923738,1.2071915192099055e-40,5566,0.009690009618468642,0.0031511377318258426,6.2,3,drop_for_quiz
alq111___ever_had_a_drink_of_any_kind_of_alcohol,categorical,12.51,2,cramers_v,0.08987892737137868,0.08987892737137868,8.909925574309917e-11,5205,0.005503360609347275,0.0020477883540623632,12.75,2,review
sld012___sleep_hours___weekdays_or_workdays,numeric,0.76,24,pointbiserial,-0.02932336188688372,0.02932336188688372,0.024250263621315684,5904,0.002737685095828646,0.0008594080946325982,0.71,24,keep_optional
sld013___sleep_hours___weekends,numeric,0.89,24,pointbiserial,-0.08901134412572566,0.08901134412572566,7.545815854845062e-12,5896,0.0016047558671678896,0.0014901170271627547,0.86,24,keep_optional
slq310___usual_wake_time_on_weekdays_or_workdays,categorical,0.61,107,cramers_v,0.14472272978032527,0.14472272978032527,0.11349962928004133,5913,0.001602744073149115,0.0014845859099289383,0.62,113,keep_optional
slq330___usual_wake_time_on_weekends,categorical,0.59,64,cramers_v,0.13556770740972146,0.13556770740972146,0.00030985122618210916,5914,0.0011673147308130182,0.0016005725653293584,0.58,70,keep_optional
paq605___vigorous_work_activity,categorical,0.0,4,cramers_v,0.03592415497732087,0.03592415497732087,0.053170052536889965,5949,0.0009132813194422329,0.0012541672240251288,0.0,4,review
slq320___usual_sleep_time_on_weekends,categorical,0.62,55,cramers_v,0.10284331921720068,0.10284331921720068,0.19918016283893156,5912,0.0007575037134066543,0.0014739678679454276,0.59,59,keep_optional
slq300___usual_sleep_time_on_weekdays_or_workdays,categorical,0.62,64,cramers_v,0.14584327762504606,0.14584327762504606,4.537005084452035e-06,5912,0.0002849375981751334,0.001546267145994933,0.65,65,keep_optional
paq665___moderate_recreational_activities,categorical,0.0,2,cramers_v,0.01610047440280791,0.01610047440280791,0.21430086381247154,5949,-0.0004033250027564661,0.0010014335378166815,0.0,2,review
alq170___past_30_days_#_times_4_5_drinks_on_an_oc,numeric,35.35,21,pointbiserial,0.020462503795334208,0.020462503795334208,0.20453896459215884,3846,-0.0008162361521070304,0.0009307437932383834,35.35,23,review
